Indicador,Entidad,Year,Numhab
Less than 14 years,Distrito Federal,2010,1937538
Less than 14 years,Durango,2010,495733
Less than 14 years,Guanajuato,2010,1707187
Less than 14 years,Guerrero,2010,1124584
Less than 14 years,Hidalgo,2010,789409
Less than 14 years,Jalisco,2010,2136416
Less than 14 years,Mexico,2010,4353914
Less than 14 years,Michoacan de Ocampo,2010,1304279
Less than 14 years,Morelos,2010,490064
Less than 14 years,Nayarit,2010,315295
Less than 14 years,Nuevo Leon,2010,1259253
Less than 14 years,Oaxaca,2010,1187395
Less than 14 years,Puebla,2010,1799744
Less than 14 years,Queretaro,2010,545065
Less than 14 years,Quintana Roo,2010,381532
Less than 14 years,San Luis Potosi,2010,786125
Less than 14 years,Sinaloa,2010,787536
Less than 14 years,Sonora,2010,767802
Less than 14 years,Tabasco,2010,669529
Less than 14 years,Tamaulipas,2010,902528
Less than 14 years,Tlaxcala,2010,358037
Less than 14 years,Veracruz de Ignacio de la Llave,2010,2132581
Less than 14 years,Yucatan,2010,534918
Less than 14 years,Zacatecas,2010,455971
Between 15 and 59 years,Nacional,2010,68367957
Between 15 and 59 years,Aguascalientes,2010,717122
Between 15 and 59 years,Baja California,2010,1999905
Between 15 and 59 years,Baja California Sur,2010,407103
Between 15 and 59 years,Campeche,2010,511635
Between 15 and 59 years,Coahuila de Zaragoza,2010,1679312
Between 15 and 59 years,Colima,2010,406375
Between 15 and 59 years,Chiapas,2010,2749652
Between 15 and 59 years,Chihuahua,2010,2037799
Between 15 and 59 years,Distrito Federal,2010,5711868
Between 15 and 59 years,Durango,2010,959112
Between 15 and 59 years,Guanajuato,2010,3276101
Between 15 and 59 years,Guerrero,2010,1921108
Between 15 and 59 years,Hidalgo,2010,1603735
Between 15 and 59 years,Jalisco,2010,4456274
Between 15 and 59 years,Mexico,2010,9497753
Between 15 and 59 years,Michoacan de Ocampo,2010,2558294
Between 15 and 59 years,Morelos,2010,1084396
Between 15 and 59 years,Nayarit,2010,652858
Between 15 and 59 years,Nuevo Leon,2010,2923885
Between 15 and 59 years,Oaxaca,2010,2185797
Between 15 and 59 years,Puebla,2010,3409710
Between 15 and 59 years,Queretaro,2010,1133550
Between 15 and 59 years,Quintana Roo,2010,860890
Between 15 and 59 years,San Luis Potosi,2010,1517978
Between 15 and 59 years,Sinaloa,2010,1702687
Between 15 and 59 years,Sonora,2010,1641513
